time,tokens,prefix_tokens,rate,elapsed_s,queue,pending
2026-09-11 21:48:15,2048.0,124928.0,3287.55,35.22456455230713,7.0,7851848.0
2026-09-11 21:48:15,2048.0,126976.0,3516.55,35.22456455230713,7.0,7849800.0
2026-09-11 21:48:16,2048.0,129024.0,2630.2,36.22456455230713,7.0,7847752.0
2026-09-11 21:48:17,2048.0,131072.0,3492.2,37.22456455230713,7.0,7845704.0
2026-09-11 21:48:17,2048.0,133120.0,3558.18,37.22456455230713,7.0,7843656.0
2026-09-11 21:48:18,2048.0,135168.0,3247.09,38.22456455230713,7.0,7841608.0
2026-09-11 21:48:19,2048.0,137216.0,1925.84,39.22456455230713,7.0,7839560.0
2026-09-11 21:48:20,2048.0,139264.0,2000.8,40.22456455230713,7.0,7837512.0
2026-09-11 21:48:21,2048.0,141312.0,2285.28,41.22456455230713,7.0,7835464.0
2026-09-11 21:48:22,2048.0,143360.0,2539.85,42.22456455230713,7.0,7833416.0
2026-09-11 21:48:22,2048.0,145408.0,2767.38,42.22456455230713,7.0,7831368.0
2026-09-11 21:48:23,2048.0,147456.0,2557.66,43.22456455230713,7.0,7829320.0
2026-09-11 21:48:24,2048.0,149504.0,2246.63,44.22456455230713,7.0,7827272.0
2026-09-11 21:48:25,2048.0,151552.0,2117.76,45.22456455230713,7.0,7825224.0
2026-09-11 21:48:26,2048.0,153600.0,2204.56,46.22456455230713,7.0,7823176.0
2026-09-11 21:48:27,2048.0,155648.0,2310.9,47.22456455230713,7.0,7821128.0
2026-09-11 21:48:28,2048.0,157696.0,2237.85,48.22456455230713,7.0,7819080.0
2026-09-11 21:48:29,2048.0,159744.0,2295.11,49.22456455230713,7.0,7817032.0
2026-09-11 21:48:30,2048.0,161792.0,2874.31,50.22456455230713,7.0,7814984.0
2026-09-11 21:48:30,2048.0,163840.0,2183.3,50.22456455230713,7.0,7812936.0
2026-09-11 21:48:31,2048.0,165888.0,2213.45,51.22456455230713,7.0,7810888.0
2026-09-11 21:48:32,2048.0,167936.0,2108.02,52.22456455230713,7.0,7808840.0
2026-09-11 21:48:33,2048.0,169984.0,2717.11,53.22456455230713,7.0,7806792.0
2026-09-11 21:48:34,2048.0,172032.0,2670.73,54.22456455230713,7.0,7804744.0
2026-09-11 21:48:35,2048.0,174080.0,2805.48,55.22456455230713,7.0,7802696.0
2026-09-11 21:48:36,2048.0,176128.0,2004.22,56.22456455230713,7.0,7800648.0
2026-09-11 21:48:37,2048.0,178176.0,2086.49,57.22456455230713,7.0,7798600.0
